,Season,Gameday,Link,TID_H,TID_A,TName_H,TName_A,FTGD,HTGD,FTHG,HTHG,HGA,AGA,Odds,Attendance,ChancesA,ChancesH,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HP3,AP3,Interval_W,Interval_L,Interval_D
0,2006,1,2,0,12, Bayern Munich, Dortmund,2.0,1.0,2.0,1.0,0.654545454546,0.381818181818,0.775831564048,1.0,7,7,12.0,16.0,9.0,7.0,14.0,20.0,4.0,4.0,1.0,2.0,0.0,0.0,0.5,0.5,0.733333333333,0.0,0.266666666667
1,2006,1,1,1,16, Hamburg, Bielefeld,0.0,-1.0,1.0,0.0,0.363636363636,0.49090909091,0.819444444444,0.914315789474,4,9,26.0,10.0,19.0,5.0,29.0,22.0,11.0,2.0,3.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0
2,2006,1,8,2,10, Leverkusen, Aachen,3.0,2.0,3.0,2.0,0.654545454546,0.3,0.819444444444,1.0,0,10,20.0,8.0,11.0,5.0,22.0,8.0,5.0,1.0,3.0,0.0,1.0,1.0,0.5,0.5,0.644444444444,0.0,0.355555555556
3,2006,1,6,3,17, Mainz, Bochum,1.0,1.0,2.0,1.0,0.527272727272,0.381818181818,0.65625,0.985221674877,5,5,11.0,19.0,5.0,9.0,17.0,15.0,1.0,8.0,2.0,3.0,0.0,0.0,0.5,0.5,0.677777777778,0.0,0.322222222222
4,2006,1,3,4,11, M'gladbach, Cottbus,2.0,0.0,2.0,0.0,0.545454545454,0.427272727272,0.760006901311,0.881091978471,6,6,13.0,11.0,8.0,7.0,11.0,24.0,3.0,5.0,0.0,4.0,0.0,1.0,0.5,0.5,0.433333333333,0.0,0.566666666667
5,2006,1,4,5,13, Schalke 04, Ein Frankfurt,0.0,1.0,1.0,1.0,0.581818181818,0.363636363636,0.819444444444,1.0,2,9,24.0,8.0,13.0,5.0,17.0,19.0,7.0,5.0,1.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0
6,2006,1,0,6,9, Stuttgart, Nurnberg,-3.0,-2.0,0.0,0.0,0.30909090909,0.727272727272,0.65625,0.690265486726,6,4,10.0,11.0,8.0,8.0,12.0,24.0,5.0,6.0,1.0,2.0,0.0,0.0,0.5,0.5,0.588888888889,0.0,0.411111111111
7,2006,1,7,7,15, Hannover, Werder Bremen,-2.0,0.0,2.0,1.0,0.472727272728,0.536363636364,0.403846153846,1.0,8,6,14.0,15.0,6.0,8.0,18.0,14.0,2.0,11.0,1.0,3.0,0.0,0.0,0.5,0.5,0.277777777778,0.133333333333,0.588888888889
8,2006,1,5,8,14, Wolfsburg, Hertha,0.0,0.0,0.0,0.0,0.49090909091,0.418181818182,0.610795454545,0.7832,5,7,26.0,10.0,15.0,4.0,30.0,18.0,10.0,5.0,4.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0
9,2006,2,17,9,4, Nurnberg, M'gladbach,1.0,1.0,1.0,1.0,0.545454545454,0.527272727272,0.68016194332,1.0,8,4,11.0,11.0,7.0,6.0,19.0,20.0,2.0,5.0,2.0,3.0,0.0,0.0,1.0,1.0,0.944444444444,0.0,0.0555555555556
10,2006,2,10,10,5, Aachen, Schalke 04,-1.0,0.0,0.0,0.0,0.454545454546,0.472727272728,0.382462033732,1.0,4,4,12.0,11.0,7.0,7.0,33.0,16.0,5.0,4.0,5.0,2.0,0.0,0.0,0.0,0.333,0.411111111111,0.0,0.588888888889
11,2006,2,15,11,1, Cottbus, Hamburg,0.0,-1.0,2.0,0.0,0.463636363636,0.372727272728,0.422916666667,0.935412026726,5,5,17.0,15.0,10.0,12.0,17.0,17.0,8.0,8.0,1.0,2.0,0.0,1.0,0.0,0.333,0.0,0.0,1.0
12,2006,2,11,12,3, Dortmund, Mainz,0.0,0.0,1.0,0.0,0.50909090909,0.527272727272,0.760006901311,0.865432098765,7,7,17.0,6.0,10.0,4.0,18.0,30.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
13,2006,2,13,13,8, Ein Frankfurt, Wolfsburg,0.0,0.0,0.0,0.0,0.481818181818,0.336363636364,0.65625,0.776699029126,2,9,19.0,8.0,9.0,5.0,24.0,31.0,10.0,1.0,5.0,2.0,1.0,0.0,0.333,0.333,0.0,0.0,1.0
14,2006,2,12,14,7, Hertha, Hannover,4.0,2.0,4.0,2.0,0.7,0.263636363636,0.697963238947,0.500754513608,2,7,11.0,5.0,9.0,1.0,11.0,18.0,2.0,2.0,1.0,2.0,0.0,1.0,0.333,0.0,0.777777777778,0.0,0.222222222222
15,2006,2,14,15,2, Werder Bremen, Leverkusen,1.0,0.0,2.0,1.0,0.527272727272,0.563636363636,0.741298527443,0.931764705882,8,10,19.0,21.0,10.0,9.0,20.0,18.0,8.0,13.0,3.0,2.0,0.0,0.0,1.0,1.0,0.144444444444,0.122222222222,0.733333333333
16,2006,2,9,16,6, Bielefeld, Stuttgart,-1.0,-1.0,2.0,0.0,0.427272727272,0.59090909091,0.575787082116,0.830607871885,7,5,15.0,13.0,9.0,9.0,16.0,25.0,4.0,7.0,1.0,1.0,0.0,2.0,0.333,0.0,0.422222222222,0.0,0.577777777778
17,2006,2,16,17,0, Bochum, Bayern Munich,-1.0,-1.0,1.0,0.0,0.445454545454,0.50909090909,0.313397129187,1.0,7,2,6.0,21.0,4.0,13.0,23.0,25.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.388888888889,0.0,0.611111111111
18,2006,3,20,0,9, Bayern Munich, Nurnberg,0.0,0.0,0.0,0.0,0.427272727272,0.545454545454,0.829759155394,1.0,4,10,19.0,9.0,10.0,2.0,12.0,18.0,14.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
19,2006,3,19,1,14, Hamburg, Hertha,0.0,1.0,1.0,1.0,0.49090909091,0.563636363636,0.68016194332,0.947175438596,7,4,29.0,13.0,11.0,12.0,19.0,20.0,7.0,9.0,3.0,3.0,1.0,1.0,0.333,0.667,0.0,0.0,1.0
20,2006,3,26,2,8, Leverkusen, Wolfsburg,0.0,0.0,1.0,0.0,0.50909090909,0.545454545454,0.791666666667,1.0,6,7,17.0,15.0,9.0,5.0,18.0,19.0,8.0,6.0,0.0,1.0,1.0,0.0,0.5,0.333,0.0,0.0,1.0
21,2006,3,23,3,13, Mainz, Ein Frankfurt,0.0,-1.0,1.0,0.0,0.445454545454,0.454545454546,0.630036630037,1.0,2,7,13.0,10.0,8.0,4.0,25.0,28.0,5.0,5.0,4.0,0.0,0.0,2.0,0.667,0.333,0.0,0.0,1.0
22,2006,3,21,4,16, M'gladbach, Bielefeld,1.0,0.0,1.0,0.0,0.518181818182,0.445454545454,0.741298527443,0.760704311317,2,5,9.0,8.0,5.0,3.0,13.0,10.0,5.0,4.0,0.0,1.0,0.0,0.0,0.5,0.167,0.344444444444,0.0,0.655555555556
23,2006,3,22,5,15, Schalke 04, Werder Bremen,2.0,1.0,2.0,1.0,0.681818181818,0.381818181818,0.561290322581,1.0,2,8,12.0,8.0,9.0,6.0,23.0,22.0,7.0,10.0,3.0,3.0,0.0,0.0,0.667,1.0,0.922222222222,0.0,0.0777777777778
24,2006,3,18,6,12, Stuttgart, Dortmund,-2.0,-1.0,1.0,1.0,0.463636363636,0.518181818182,0.596072931276,0.778761061947,5,8,22.0,9.0,13.0,4.0,18.0,30.0,12.0,6.0,3.0,2.0,0.0,0.0,0.5,0.167,0.755555555556,0.0,0.244444444444
25,2006,3,24,7,10, Hannover, Aachen,-3.0,-1.0,0.0,0.0,0.218181818182,0.627272727272,0.724252491694,0.614020408163,4,5,8.0,5.0,4.0,3.0,7.0,14.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.833333333333,0.0,0.166666666667
26,2006,3,25,17,11, Bochum, Cottbus,-1.0,0.0,0.0,0.0,0.4,0.454545454546,0.697963238947,0.691585801839,4,7,21.0,12.0,8.0,5.0,25.0,20.0,9.0,2.0,2.0,6.0,0.0,0.0,0.0,0.167,0.0555555555556,0.0,0.944444444444
27,2006,4,30,8,7, Wolfsburg, Hannover,-1.0,0.0,1.0,0.0,0.354545454546,0.536363636364,0.68016194332,0.882633333333,4,1,9.0,11.0,3.0,5.0,27.0,25.0,3.0,3.0,2.0,0.0,0.0,0.0,0.333,0.0,0.333333333333,0.0,0.666666666667
28,2006,4,35,9,17, Nurnberg, Bochum,0.0,0.0,1.0,1.0,0.545454545454,0.554545454546,0.760006901311,0.856170212766,4,5,22.0,4.0,13.0,4.0,8.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.778,0.0,0.0,0.0,1.0
29,2006,4,28,10,4, Aachen, M'gladbach,2.0,2.0,4.0,2.0,0.645454545454,0.281818181818,0.570512820513,1.0,3,6,14.0,12.0,9.0,7.0,23.0,12.0,3.0,5.0,3.0,2.0,0.0,0.0,0.333,0.667,0.922222222222,0.0,0.0777777777778
30,2006,4,34,11,3, Cottbus, Mainz,2.0,0.0,2.0,0.0,0.545454545454,0.327272727272,0.588628762542,0.579064587973,2,4,10.0,5.0,6.0,2.0,20.0,23.0,3.0,2.0,2.0,1.0,0.0,0.0,0.444,0.556,0.455555555556,0.0,0.544444444444
31,2006,4,29,12,1, Dortmund, Hamburg,1.0,0.0,1.0,0.0,0.481818181818,0.354545454546,0.610795454545,0.996395061728,4,5,19.0,15.0,7.0,10.0,12.0,23.0,11.0,4.0,2.0,1.0,0.0,0.0,0.444,0.333,0.0888888888889,0.0,0.911111111111
