Season,Gameday,TID_H,TID_A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
2006,1,6,9,0.0,3.0,A,0.0,2.0,A,10.0,11.0,8.0,8.0,12.0,24.0,5.0,6.0,1.0,2.0,0.0,0.0,2.0,3.2,3.75
2006,1,2,10,3.0,0.0,H,2.0,0.0,H,20.0,8.0,11.0,5.0,22.0,8.0,5.0,1.0,3.0,0.0,1.0,1.0,1.44,4.0,7.5
2006,1,4,11,2.0,0.0,H,0.0,0.0,D,13.0,11.0,8.0,7.0,11.0,24.0,3.0,5.0,0.0,4.0,0.0,1.0,1.61,3.6,5.5
2006,1,0,12,2.0,0.0,H,1.0,0.0,H,12.0,16.0,9.0,7.0,14.0,20.0,4.0,4.0,1.0,2.0,0.0,0.0,1.57,3.6,6.0
2006,1,5,13,1.0,1.0,D,1.0,0.0,H,24.0,8.0,13.0,5.0,17.0,19.0,7.0,5.0,1.0,2.0,0.0,0.0,1.44,4.0,7.5
2006,1,8,14,0.0,0.0,D,0.0,0.0,D,26.0,10.0,15.0,4.0,30.0,18.0,10.0,5.0,4.0,1.0,0.0,0.0,2.2,3.2,2.75
2006,1,7,15,2.0,4.0,A,1.0,1.0,D,14.0,15.0,6.0,8.0,18.0,14.0,2.0,11.0,1.0,3.0,0.0,0.0,4.0,3.25,1.9
2006,1,1,16,1.0,1.0,D,0.0,1.0,A,26.0,10.0,19.0,5.0,29.0,22.0,11.0,2.0,3.0,2.0,0.0,0.0,1.44,4.0,7.5
2006,1,3,17,2.0,1.0,H,1.0,0.0,H,11.0,19.0,5.0,9.0,17.0,15.0,1.0,8.0,2.0,3.0,0.0,0.0,2.0,3.2,3.75
2006,2,17,0,1.0,2.0,A,0.0,1.0,A,6.0,21.0,4.0,13.0,23.0,25.0,2.0,4.0,1.0,2.0,0.0,0.0,5.5,3.8,1.57
2006,2,11,1,2.0,2.0,D,0.0,1.0,A,17.0,15.0,10.0,12.0,17.0,17.0,8.0,8.0,1.0,2.0,0.0,1.0,3.75,3.2,2.0
2006,2,15,2,2.0,1.0,H,1.0,1.0,D,19.0,21.0,10.0,9.0,20.0,18.0,8.0,13.0,3.0,2.0,0.0,0.0,1.66,3.6,5.0
2006,2,12,3,1.0,1.0,D,0.0,0.0,D,17.0,6.0,10.0,4.0,18.0,30.0,7.0,3.0,2.0,1.0,0.0,0.0,1.61,3.6,5.5
2006,2,9,4,1.0,0.0,H,1.0,0.0,H,11.0,11.0,7.0,6.0,19.0,20.0,2.0,5.0,2.0,3.0,0.0,0.0,1.9,3.25,4.0
2006,2,10,5,0.0,1.0,A,0.0,0.0,D,12.0,11.0,7.0,7.0,33.0,16.0,5.0,4.0,5.0,2.0,0.0,0.0,4.33,3.3,1.83
2006,2,16,6,2.0,3.0,A,0.0,1.0,A,15.0,13.0,9.0,9.0,16.0,25.0,4.0,7.0,1.0,1.0,0.0,2.0,2.37,3.25,3.0
2006,2,14,7,4.0,0.0,H,2.0,0.0,H,11.0,5.0,9.0,1.0,11.0,18.0,2.0,2.0,1.0,2.0,0.0,1.0,1.83,3.3,4.33
2006,2,13,8,0.0,0.0,D,0.0,0.0,D,19.0,8.0,9.0,5.0,24.0,31.0,10.0,1.0,5.0,2.0,1.0,0.0,2.0,3.2,3.75
2006,3,2,8,1.0,1.0,D,0.0,0.0,D,17.0,15.0,9.0,5.0,18.0,19.0,8.0,6.0,0.0,1.0,1.0,0.0,1.5,4.0,6.0
