,Season,Gameday,Link,Score,Minute,Player
0,2004,30,677932,-1,4,26143
1,2004,30,677932,0,12,27336
2,2004,30,677932,1,29,22042
3,2004,30,677932,0,42,23263
4,2004,30,677932,1,61,25041
5,2004,30,677932,2,74,25041
6,2004,30,677933,1,5,23949
7,2004,30,677933,0,15,24552
8,2004,30,677933,1,55,23949
9,2004,30,677933,2,69,23949
10,2004,30,677934,1,9,24314
11,2004,30,677934,2,26,1666
12,2004,30,677934,1,51,215
13,2004,30,677934,2,63,25031
14,2004,30,677935,1,23,26148
15,2004,30,677935,2,79,22052
16,2004,30,677938,1,49,24843
17,2004,30,677938,2,61,26807
18,2004,30,677938,3,64,27558
19,2004,30,677939,1,5,1654
20,2004,30,677939,0,17,22575
21,2004,30,677939,1,35,26483
22,2004,30,677939,2,50,28615
23,2004,30,677939,3,59,26483
24,2004,30,677940,1,3,22814
25,2004,30,677940,2,38,24850
26,2004,30,677940,1,39,23709
27,2004,31,677941,-1,6,22934
28,2004,31,677941,0,27,24378
29,2004,31,677941,-1,60,22907
30,2004,31,677941,-2,65,22052
31,2004,31,677941,-3,68,1823
32,2004,31,677941,-4,78,26171
33,2004,31,677941,-5,84,26119
34,2004,31,677941,-4,87,30865
35,2004,31,677942,-1,19,1666
36,2004,31,677942,-2,35,25031
37,2004,31,677942,-3,48,25031
38,2004,31,677942,-4,67,25031
39,2004,31,677943,1,11,30197
40,2004,31,677943,0,37,27336
41,2004,31,677943,-1,40,25041
42,2004,31,677943,0,80,25338
43,2004,31,677944,1,43,27616
44,2004,31,677944,2,53,23156
45,2004,31,677944,3,78,23709
46,2004,31,677945,-1,23,23504
47,2004,31,677945,0,30,26563
48,2004,31,677945,1,37,26563
49,2004,31,677945,2,41,22575
50,2004,31,677945,1,56,25733
51,2004,31,677945,0,64,9079
52,2004,31,677946,1,45,30648
53,2004,31,677946,2,70,22587
54,2004,31,677946,1,73,1654
55,2004,31,677948,1,17,9039
56,2004,31,677948,2,24,29746
57,2004,31,677947,1,41,26228
58,2004,31,677949,1,87,25410
59,2004,32,677950,-1,24,1738
60,2004,32,677950,-2,40,23141
61,2004,32,677950,-1,73,22664
62,2004,32,677951,-1,17,25031
63,2004,32,677951,0,35,22934
64,2004,32,677951,-1,42,1666
65,2004,32,677951,0,58,22907
66,2004,32,677951,-1,82,25031
67,2004,32,677951,-2,89,25031
68,2004,32,677952,1,21,23421
69,2004,32,677952,2,85,29757
70,2004,32,677952,1,90,22028
71,2004,32,677953,1,88,25173
72,2004,32,677955,-1,17,26228
73,2004,32,677955,0,63,23506
74,2004,32,677955,1,81,26483
75,2004,32,677955,2,87,29031
76,2004,32,677956,1,27,25733
77,2004,32,677956,2,58,9079
78,2004,32,677956,3,88,25733
79,2004,32,677957,-1,9,26563
80,2004,32,677957,-2,90,22645
81,2004,32,677958,1,32,24746
82,2004,33,677959,1,29,26148
83,2004,33,677959,0,35,23263
84,2004,33,677959,1,47,21801
85,2004,33,677959,2,57,22707
86,2004,33,677959,1,86,22707
87,2004,33,677960,-1,23,25338
88,2004,33,677960,0,48,24533
89,2004,33,677960,1,49,23156
90,2004,33,677960,2,53,23156
91,2004,33,677960,3,90,24533
92,2004,33,677961,-1,17,22042
93,2004,33,677961,0,19,197
94,2004,33,677961,-1,43,463
95,2004,33,677962,-1,20,23753
96,2004,33,677962,0,27,29700
97,2004,33,677963,1,24,25475
98,2004,33,677963,2,30,1185
99,2004,33,677963,1,61,28275
100,2004,33,677963,0,86,23332
101,2004,33,677965,-1,13,26807
102,2004,33,677965,0,43,27744
103,2004,33,677965,1,87,30755
104,2004,33,677966,1,60,25400
105,2004,33,677966,2,71,24378
106,2004,33,677967,1,8,24314
107,2004,33,677967,2,26,1666
108,2004,33,677967,3,31,25031
109,2004,33,677967,4,41,25031
110,2004,33,677967,5,44,21998
111,2004,33,677967,4,52,29683
112,2004,33,677967,5,78,21998
113,2004,33,677967,4,80,26449
114,2004,33,677967,3,83,26449
115,2004,34,677968,-1,15,21882
116,2004,34,677968,0,18,29757
117,2004,34,677968,-1,87,22907
118,2004,34,677969,-1,27,1666
119,2004,34,677969,-2,30,313
120,2004,34,677969,-3,72,25031
121,2004,34,677969,-2,88,24364
122,2004,34,677970,-1,3,25301
123,2004,34,677972,-1,2,9039
124,2004,34,677972,0,41,25733
125,2004,34,677972,1,58,25733
126,2004,34,677972,2,59,9079
127,2004,34,677972,3,61,25733
128,2004,34,677972,4,69,28275
129,2004,34,677973,1,35,24866
130,2004,34,677973,0,41,26228
131,2004,34,677973,-1,56,1185
132,2004,34,677974,-1,15,26539
133,2004,34,677974,0,52,33625
134,2004,34,677974,1,67,25041
135,2004,34,677975,-1,6,22575
136,2004,34,677975,0,11,1313
137,2004,34,677975,-1,55,22803
138,2004,34,677975,0,78,26778
139,2004,34,677975,-1,89,22803
140,2004,34,677976,-1,13,23156
141,2004,34,677976,-2,42,27646
142,2004,34,677976,-1,45,26143
143,2004,1,677679,1,83,27646
144,2004,1,677671,-1,12,25274
145,2004,1,677671,0,58,23141
146,2004,1,677671,-1,61,30176
147,2004,1,677671,-2,84,1056
148,2004,1,677673,1,30,27336
149,2004,1,677673,0,43,1185
150,2004,1,677673,-1,64,1185
151,2004,1,677675,-1,15,152
152,2004,1,677675,0,49,1131
153,2004,1,677675,1,90,28275
154,2004,1,677676,1,6,30895
155,2004,1,677676,2,44,26483
156,2004,1,677676,1,65,21734
157,2004,1,677676,0,70,22574
158,2004,1,677677,-1,22,1666
159,2004,1,677677,-2,71,21998
160,2004,1,677678,1,20,27472
161,2004,1,677678,2,30,27472
162,2004,1,677678,1,48,6000
163,2004,1,677678,2,51,263
164,2004,1,677678,1,75,21910
165,2004,1,677678,2,78,27472
166,2004,2,677680,-1,28,27975
167,2004,2,677680,0,51,1823
168,2004,2,677680,1,53,1823
169,2004,2,677681,-1,15,26483
170,2004,2,677681,0,47,25031
171,2004,2,677684,1,7,25040
172,2004,2,677684,0,13,25982
173,2004,2,677684,1,34,1641
174,2004,2,677684,0,35,25041
175,2004,2,677684,-1,38,27336
176,2004,2,677686,-1,54,9126
177,2004,2,677686,-2,58,24533
178,2004,2,677686,-3,64,9126
179,2004,2,677686,-4,89,26454
180,2004,2,677687,-1,18,320
181,2004,2,677687,0,25,22057
182,2004,2,677687,1,66,22057
183,2004,2,677688,-1,7,27472
184,2004,2,677688,0,15,25274
185,2004,2,677682,1,29,24378
186,2004,2,677682,0,66,25733
187,2004,2,677682,1,69,25415
188,2004,2,677682,0,87,9079
189,2004,2,677685,-1,85,25278
190,2004,2,677683,-1,79,9122
191,2004,3,677689,-1,31,25173
192,2004,3,677689,0,35,320
193,2004,3,677689,1,38,378
194,2004,3,677689,0,53,25173
195,2004,3,677689,-1,81,25173
196,2004,3,677690,1,28,26778
197,2004,3,677690,0,78,9039
198,2004,3,677692,-1,31,437
199,2004,3,677692,0,87,9122
200,2004,3,677692,-1,90,25301
201,2004,3,677693,1,20,25733
202,2004,3,677693,2,52,28275
203,2004,3,677693,3,57,28275
204,2004,3,677693,4,59,25733
205,2004,3,677693,3,84,1666
206,2004,3,677694,1,67,287
207,2004,3,677694,0,78,1714
208,2004,3,677695,1,12,27975
209,2004,3,677695,0,37,29757
210,2004,3,677695,1,40,25314
211,2004,3,677695,2,50,24843
212,2004,3,677695,1,76,29757
213,2004,3,677695,0,84,29757
214,2004,3,677695,1,87,25206
215,2004,3,677696,-1,33,24840
216,2004,3,677696,-2,77,24840
217,2004,3,677691,1,29,24746
218,2004,3,677691,0,90,29763
219,2004,3,677697,-1,46,1185
220,2004,3,677697,-2,53,430
221,2004,3,677697,-1,71,23709
222,2004,4,677698,1,65,21882
223,2004,4,677698,2,68,22934
224,2004,4,677699,1,26,25031
225,2004,1,677679,1,83,27646
226,2004,1,677671,-1,12,25274
227,2004,1,677671,0,58,23141
228,2004,1,677671,-1,61,30176
229,2004,1,677671,-2,84,1056
230,2004,1,677673,1,30,27336
231,2004,1,677673,0,43,1185
232,2004,1,677673,-1,64,1185
233,2004,1,677675,-1,15,152
234,2004,1,677675,0,49,1131
235,2004,1,677675,1,90,28275
236,2004,1,677676,1,6,30895
237,2004,1,677676,2,44,26483
238,2004,1,677676,1,65,21734
239,2004,1,677676,0,70,22574
240,2004,1,677677,-1,22,1666
241,2004,1,677677,-2,71,21998
242,2004,1,677678,1,20,27472
243,2004,1,677678,2,30,27472
244,2004,1,677678,1,48,6000
245,2004,1,677678,2,51,263
246,2004,1,677678,1,75,21910
247,2004,1,677678,2,78,27472
248,2004,2,677680,-1,28,27975
249,2004,2,677680,0,51,1823
250,2004,2,677680,1,53,1823
251,2004,2,677681,-1,15,26483
252,2004,2,677681,0,47,25031
253,2004,2,677684,1,7,25040
254,2004,2,677684,0,13,25982
255,2004,2,677684,1,34,1641
256,2004,2,677684,0,35,25041
257,2004,2,677684,-1,38,27336
258,2004,2,677686,-1,54,9126
259,2004,2,677686,-2,58,24533
260,2004,2,677686,-3,64,9126
261,2004,2,677686,-4,89,26454
262,2004,2,677687,-1,18,320
263,2004,2,677687,0,25,22057
264,2004,2,677687,1,66,22057
265,2004,2,677688,-1,7,27472
266,2004,2,677688,0,15,25274
267,2004,2,677682,1,29,24378
268,2004,2,677682,0,66,25733
269,2004,2,677682,1,69,25415
270,2004,2,677682,0,87,9079
271,2004,2,677685,-1,85,25278
272,2004,2,677683,-1,79,9122
273,2004,3,677689,-1,31,25173
274,2004,3,677689,0,35,320
275,2004,3,677689,1,38,378
276,2004,3,677689,0,53,25173
277,2004,3,677689,-1,81,25173
278,2004,3,677690,1,28,26778
279,2004,3,677690,0,78,9039
280,2004,3,677692,-1,31,437
281,2004,3,677692,0,87,9122
282,2004,3,677692,-1,90,25301
283,2004,3,677693,1,20,25733
284,2004,3,677693,2,52,28275
285,2004,3,677693,3,57,28275
286,2004,3,677693,4,59,25733
287,2004,3,677693,3,84,1666
288,2004,3,677694,1,67,287
289,2004,3,677694,0,78,1714
290,2004,3,677695,1,12,27975
291,2004,3,677695,0,37,29757
292,2004,3,677695,1,40,25314
293,2004,3,677695,2,50,24843
294,2004,3,677695,1,76,29757
295,2004,3,677695,0,84,29757
296,2004,3,677695,1,87,25206
297,2004,3,677696,-1,33,24840
298,2004,3,677696,-2,77,24840
299,2004,3,677691,1,29,24746
300,2004,3,677691,0,90,29763
301,2004,3,677697,-1,46,1185
302,2004,3,677697,-2,53,430
303,2004,3,677697,-1,71,23709
304,2004,4,677698,1,65,21882
305,2004,4,677698,2,68,22934
306,2004,4,677699,1,26,25031
307,2004,4,677700,1,15,21734
308,2004,4,677700,0,48,25041
309,2004,4,677700,-1,59,27336
310,2004,4,677700,0,75,26788
311,2004,4,677702,1,12,25266
312,2004,4,677702,2,53,9039
313,2004,4,677702,1,69,27646
314,2004,4,677702,2,90,28564
315,2004,4,677703,1,30,1667
316,2004,4,677703,2,40,1667
317,2004,4,677703,3,90,27607
318,2004,4,677705,1,16,263
319,2004,4,677705,2,90,24364
320,2004,4,677701,1,2,27744
321,2004,4,677701,2,8,27744
322,2004,4,677701,1,59,25278
323,2004,4,677701,0,73,24552
324,2004,4,677704,-1,42,26759
325,2004,4,677704,-2,44,999
326,2004,4,677704,-3,56,26143
327,2004,4,677704,-2,71,25120
328,2004,4,677704,-1,90,25120
329,2004,5,677707,1,17,23141
330,2004,5,677707,2,55,23475
331,2004,5,677707,1,64,1665
332,2004,5,677709,1,44,27336
333,2004,5,677709,2,69,27336
334,2004,5,677709,1,88,26110
335,2004,5,677709,0,90,25031
336,2004,5,677710,1,64,9122
337,2004,5,677710,0,82,28329
338,2004,5,677711,-1,23,23859
339,2004,5,677711,-2,69,26109
340,2004,5,677711,-1,76,1344
341,2004,5,677711,0,80,25733
342,2004,5,677713,-1,17,27607
343,2004,5,677713,0,33,27511
344,2004,5,677713,-1,78,430
345,2004,5,677714,-1,5,22832
346,2004,5,677714,0,35,29034
347,2004,5,677714,-1,47,9039
348,2004,5,677714,0,59,28020
349,2004,5,677714,1,66,22575
350,2004,5,677715,1,20,29735
351,2004,5,677715,2,78,24533
352,2004,5,677715,3,88,23709
353,2004,5,677708,-1,55,30865
354,2004,5,677708,0,58,241
355,2004,6,677717,-1,3,30197
356,2004,6,677717,0,19,25031
357,2004,6,677717,1,45,510
358,2004,6,677717,2,72,1666
359,2004,6,677718,-1,54,23156
360,2004,6,677718,0,68,25003
361,2004,6,677718,-1,70,23709
362,2004,6,677718,-2,88,23709
363,2004,6,677718,-3,89,23709
364,2004,6,677719,1,83,27789
365,2004,6,677720,1,18,9039
366,2004,6,677720,2,30,9039
367,2004,6,677720,1,52,24840
368,2004,6,677720,0,59,24840
369,2004,6,677721,1,13,26228
370,2004,6,677721,0,82,378
371,2004,6,677721,1,90,27607
372,2004,6,677723,1,12,26870
373,2004,6,677723,2,42,22714
374,2004,6,677723,3,90,263
