,Season,Gameday,KID,GradeAvg
0,2005,1,14,3.13636363636
1,2005,1,15,4.04545454545
2,2005,1,16,3.63636363636
3,2005,1,30,3.86363636364
4,2005,1,1,3.18181818182
5,2005,1,11,3.72727272727
6,2005,1,12,2.68181818182
7,2005,1,81,4.40909090909
8,2005,1,24,3.36363636364
9,2005,1,17,3.59090909091
10,2005,1,4,2.95454545455
11,2005,1,10,4.22727272727
12,2005,1,58,3.68181818182
13,2005,1,29,3.5
14,2005,1,2,3.31818181818
15,2005,1,37,3.77272727273
16,2005,1,32,4.40909090909
17,2005,1,9,2.95454545455
18,2005,2,9,4.5
19,2005,2,14,2.72727272727
20,2005,2,15,4.04545454545
21,2005,2,24,3.81818181818
22,2005,2,17,4.04545454545
23,2005,2,2,3.13636363636
24,2005,2,29,3.72727272727
25,2005,2,32,4.22727272727
26,2005,2,37,3.54545454545
27,2005,2,1,4.59090909091
28,2005,2,81,3.68181818182
29,2005,2,58,3.18181818182
30,2005,2,10,3.5
31,2005,2,12,3.45454545455
32,2005,2,11,4.18181818182
33,2005,2,16,3.13636363636
34,2005,2,30,3.86363636364
35,2005,2,4,2.86363636364
36,2005,3,16,4.36363636364
37,2005,3,37,2.77272727273
38,2005,3,2,3.59090909091
39,2005,3,15,3.45454545455
40,2005,3,12,3.5
41,2005,3,58,3.5
42,2005,3,24,3.0
43,2005,3,9,3.72727272727
44,2005,3,4,2.95454545455
45,2005,3,11,3.0
46,2005,3,14,3.0
47,2005,3,29,4.04545454545
48,2005,3,32,3.36363636364
49,2005,3,81,4.31818181818
50,2005,3,1,3.86363636364
51,2005,3,17,3.36363636364
52,2005,3,10,3.18181818182
53,2005,3,30,4.0
54,2005,4,9,3.09090909091
55,2005,4,2,3.54545454545
56,2005,4,15,3.40909090909
57,2005,4,1,3.59090909091
58,2005,4,37,4.54545454545
59,2005,4,4,2.63636363636
60,2005,4,81,3.63636363636
61,2005,4,14,3.09090909091
62,2005,4,11,3.81818181818
63,2005,4,10,3.72727272727
64,2005,4,30,4.04545454545
65,2005,4,12,2.86363636364
66,2005,4,58,3.5
67,2005,4,32,4.36363636364
68,2005,4,17,3.22727272727
69,2005,4,16,3.5
70,2005,4,29,3.13636363636
71,2005,4,24,4.09090909091
72,2005,5,16,3.0
73,2005,5,15,4.59090909091
74,2005,5,12,4.27272727273
75,2005,5,32,3.63636363636
76,2005,5,24,4.22727272727
77,2005,5,81,3.86363636364
78,2005,5,4,2.81818181818
79,2005,5,17,3.77272727273
80,2005,5,14,3.72727272727
81,2005,5,58,4.0
82,2005,5,30,3.77272727273
83,2005,5,11,3.68181818182
84,2005,5,10,3.81818181818
85,2005,5,37,4.27272727273
86,2005,5,1,4.0
87,2005,5,9,3.36363636364
88,2005,5,2,3.77272727273
89,2005,5,29,3.22727272727
90,2005,6,15,3.45454545455
91,2005,6,4,3.68181818182
92,2005,6,17,3.54545454545
93,2005,6,10,4.0
94,2005,6,32,3.31818181818
95,2005,6,14,3.13636363636
96,2005,6,58,4.68181818182
97,2005,6,24,2.68181818182
98,2005,6,9,3.09090909091
99,2005,6,16,3.95454545455
100,2005,6,29,3.72727272727
101,2005,6,1,3.59090909091
