Season,Gameday,KID,GradeAvg
2005,1,14,3.13636363636
2005,1,15,4.04545454545
2005,1,16,3.63636363636
2005,1,30,3.86363636364
2005,1,1,3.18181818182
2005,1,11,3.72727272727
2005,1,12,2.68181818182
2005,1,81,4.40909090909
2005,1,24,3.36363636364
2005,1,17,3.59090909091
2005,1,4,2.95454545455
2005,1,10,4.22727272727
2005,1,58,3.68181818182
2005,1,29,3.5
2005,1,2,3.31818181818
2005,1,37,3.77272727273
2005,1,32,4.40909090909
2005,1,9,2.95454545455
2005,2,9,4.5
2005,2,14,2.72727272727
2005,2,15,4.04545454545
2005,2,24,3.81818181818
2005,2,17,4.04545454545
2005,2,2,3.13636363636
2005,2,29,3.72727272727
2005,2,32,4.22727272727
2005,2,37,3.54545454545
2005,2,1,4.59090909091
2005,2,81,3.68181818182
2005,2,58,3.18181818182
2005,2,10,3.5
2005,2,12,3.45454545455
2005,2,11,4.18181818182
2005,2,16,3.13636363636
2005,2,30,3.86363636364
2005,2,4,2.86363636364
2005,3,16,4.36363636364
2005,3,37,2.77272727273
2005,3,2,3.59090909091
2005,3,15,3.45454545455
2005,3,12,3.5
2005,3,58,3.5
2005,3,24,3.0
2005,3,9,3.72727272727
2005,3,4,2.95454545455
2005,3,11,3.0
2005,3,14,3.0
2005,3,29,4.04545454545
2005,3,32,3.36363636364
2005,3,81,4.31818181818
2005,3,1,3.86363636364
2005,3,17,3.36363636364
2005,3,10,3.18181818182
2005,3,30,4.0
2005,4,9,3.09090909091
2005,4,2,3.54545454545
2005,4,15,3.40909090909
2005,4,1,3.59090909091
2005,4,37,4.54545454545
2005,4,4,2.63636363636
2005,4,81,3.63636363636
2005,4,14,3.09090909091
2005,4,11,3.81818181818
2005,4,10,3.72727272727
2005,4,30,4.04545454545
2005,4,12,2.86363636364
2005,4,58,3.5
2005,4,32,4.36363636364
2005,4,17,3.22727272727
2005,4,16,3.5
2005,4,29,3.13636363636
2005,4,24,4.09090909091
2005,5,16,3.0
2005,5,15,4.59090909091
2005,5,12,4.27272727273
2005,5,32,3.63636363636
2005,5,24,4.22727272727
2005,5,81,3.86363636364
2005,5,4,2.81818181818
2005,5,17,3.77272727273
2005,5,14,3.72727272727
2005,5,58,4.0
2005,5,30,3.77272727273
2005,5,11,3.68181818182
2005,5,10,3.81818181818
2005,5,37,4.27272727273
2005,5,1,4.0
2005,5,9,3.36363636364
2005,5,2,3.77272727273
2005,5,29,3.22727272727
2005,6,15,3.45454545455
2005,6,4,3.68181818182
2005,6,17,3.54545454545
2005,6,10,4.0
2005,6,32,3.31818181818
2005,6,14,3.13636363636
2005,6,58,4.68181818182
2005,6,24,2.68181818182
2005,6,9,3.09090909091
2005,6,16,3.95454545455
2005,6,29,3.72727272727
2005,6,1,3.59090909091
2005,6,37,4.77272727273
2005,6,30,3.90909090909
2005,6,81,3.27272727273
2005,6,2,3.68181818182
2005,6,11,3.63636363636
2005,6,12,3.68181818182
2005,7,1,3.5
2005,7,81,4.22727272727
2005,7,2,2.77272727273
2005,7,58,4.59090909091
2005,7,12,2.54545454545
2005,7,14,4.36363636364
2005,7,24,3.95454545455
2005,7,32,4.22727272727
2005,7,4,3.04545454545
2005,7,9,3.5
2005,7,30,3.09090909091
2005,7,17,3.86363636364
2005,7,10,4.5
2005,7,15,2.95454545455
2005,7,16,3.77272727273
2005,7,29,2.77272727273
2005,7,11,3.68181818182
2005,7,37,3.81818181818
2005,8,9,4.22727272727
2005,8,10,3.5
2005,8,15,3.31818181818
2005,8,30,3.45454545455
2005,8,29,3.13636363636
2005,8,4,2.95454545455
2005,8,81,2.63636363636
2005,8,16,4.31818181818
2005,8,14,3.40909090909
2005,8,24,3.72727272727
2005,8,32,3.45454545455
2005,8,2,3.54545454545
2005,8,58,3.95454545455
2005,8,1,3.95454545455
2005,8,17,3.45454545455
2005,8,11,3.59090909091
2005,8,37,4.68181818182
2005,8,12,2.68181818182
2005,9,2,3.77272727273
2005,9,14,3.04545454545
2005,9,12,3.95454545455
2005,9,24,2.86363636364
2005,9,37,4.04545454545
2005,9,17,3.86363636364
2005,9,4,2.81818181818
2005,9,81,4.40909090909
2005,9,11,3.90909090909
2005,9,15,2.95454545455
2005,9,30,3.04545454545
2005,9,9,4.5
2005,9,10,2.59090909091
2005,9,29,4.22727272727
2005,9,16,4.5
2005,9,58,2.81818181818
2005,9,1,4.22727272727
2005,9,32,3.13636363636
2005,10,15,3.09090909091
2005,10,37,4.5
2005,10,29,3.13636363636
2005,10,30,3.63636363636
2005,10,24,3.68181818182
2005,10,2,3.40909090909
2005,10,81,3.90909090909
2005,10,10,3.40909090909
2005,10,14,2.81818181818
2005,10,1,5.0
2005,10,32,2.63636363636
2005,10,16,5.04545454545
2005,10,58,3.54545454545
2005,10,4,3.68181818182
2005,10,9,3.86363636364
2005,10,11,3.63636363636
2005,10,17,3.54545454545
2005,10,12,3.63636363636
2005,11,16,3.86363636364
2005,11,14,3.31818181818
2005,11,1,2.90909090909
2005,11,24,4.36363636364
2005,11,17,3.27272727273
2005,11,15,4.04545454545
2005,11,12,3.40909090909
2005,11,2,4.40909090909
2005,11,37,4.09090909091
2005,11,9,4.0
2005,11,4,2.72727272727
2005,11,32,4.13636363636
2005,11,11,3.68181818182
2005,11,29,3.59090909091
2005,11,30,2.86363636364
2005,11,81,4.13636363636
2005,11,10,2.63636363636
2005,11,58,4.40909090909
2005,12,9,3.18181818182
2005,12,17,4.0
2005,12,2,3.0
2005,12,1,4.31818181818
2005,12,29,2.72727272727
2005,12,37,4.77272727273
2005,12,24,3.86363636364
2005,12,16,3.86363636364
2005,12,14,2.95454545455
2005,12,4,3.59090909091
2005,12,32,2.68181818182
2005,12,10,4.45454545455
2005,12,58,4.09090909091
2005,12,30,3.81818181818
2005,12,15,3.45454545455
2005,12,12,4.22727272727
2005,12,81,3.95454545455
2005,12,11,3.5
2005,13,16,3.86363636364
2005,13,2,3.63636363636
2005,13,15,3.40909090909
2005,13,9,3.22727272727
2005,13,17,2.90909090909
2005,13,29,4.22727272727
2005,13,37,4.72727272727
2005,13,81,3.5
2005,13,4,2.45454545455
2005,13,24,4.95454545455
2005,13,30,3.36363636364
2005,13,32,3.27272727273
2005,13,10,3.31818181818
2005,13,14,3.86363636364
2005,13,12,3.22727272727
2005,13,1,4.54545454545
2005,13,11,3.40909090909
2005,13,58,3.59090909091
2005,14,9,3.86363636364
2005,14,12,3.09090909091
2005,14,2,3.18181818182
2005,14,4,3.45454545455
2005,14,24,4.27272727273
2005,14,10,3.63636363636
2005,14,81,4.09090909091
2005,14,17,3.0
2005,14,14,3.0
2005,14,30,3.36363636364
2005,14,58,2.86363636364
2005,14,37,5.09090909091
2005,14,29,3.68181818182
2005,14,15,3.86363636364
2005,14,32,3.22727272727
2005,14,11,3.18181818182
2005,14,1,4.04545454545
2005,14,16,3.63636363636
2005,15,15,4.22727272727
2005,15,81,3.54545454545
2005,15,17,3.86363636364
2005,15,58,3.09090909091
2005,15,12,3.22727272727
2005,15,16,4.5
2005,15,4,3.09090909091
2005,15,1,3.59090909091
2005,15,11,3.36363636364
2005,15,14,3.59090909091
2005,15,10,3.81818181818
2005,15,2,3.18181818182
2005,15,9,4.27272727273
2005,15,29,3.04545454545
2005,15,30,2.63636363636
2005,15,24,4.86363636364
2005,15,37,4.81818181818
2005,15,32,3.36363636364
2005,16,1,3.72727272727
2005,16,10,3.54545454545
2005,16,2,3.27272727273
2005,16,30,3.81818181818
2005,16,12,3.40909090909
2005,16,29,4.04545454545
2005,16,24,3.95454545455
2005,16,11,3.77272727273
2005,16,81,3.36363636364
2005,16,9,3.63636363636
2005,16,32,2.86363636364
2005,16,17,4.13636363636
2005,16,58,3.40909090909
2005,16,15,3.27272727273
2005,16,16,3.72727272727
2005,16,4,3.18181818182
2005,16,14,3.13636363636
2005,16,37,3.86363636364
2005,17,9,3.81818181818
2005,17,58,3.72727272727
2005,17,15,3.22727272727
2005,17,32,3.36363636364
2005,17,17,3.36363636364
2005,17,14,3.36363636364
2005,17,37,3.5
2005,17,24,4.45454545455
2005,17,11,3.04545454545
2005,17,2,4.22727272727
2005,17,30,4.27272727273
2005,17,1,4.18181818182
2005,17,10,2.86363636364
2005,17,16,4.40909090909
2005,17,29,3.63636363636
2005,17,81,3.63636363636
2005,17,4,2.90909090909
2005,17,12,3.77272727273
2005,18,15,4.40909090909
2005,18,14,2.59090909091
2005,18,30,2.90909090909
2005,18,16,4.77272727273
2005,18,11,4.04545454545
2005,18,1,3.68181818182
2005,18,81,3.13636363636
2005,18,12,4.68181818182
2005,18,17,3.18181818182
2005,18,24,4.22727272727
2005,18,9,3.63636363636
2005,18,32,3.5
2005,18,29,4.0
2005,18,58,3.86363636364
2005,18,37,4.36363636364
2005,18,2,3.27272727273
2005,18,10,3.54545454545
2005,18,4,3.68181818182
2005,19,14,3.04545454545
2005,19,9,3.95454545455
2005,19,2,3.68181818182
2005,19,17,3.36363636364
2005,19,32,3.77272727273
2005,19,29,4.0
2005,19,1,3.68181818182
2005,19,37,3.63636363636
2005,19,16,3.59090909091
2005,19,11,3.5
2005,19,4,3.45454545455
2005,19,30,4.13636363636
2005,19,12,3.86363636364
2005,19,10,3.36363636364
2005,19,24,2.95454545455
2005,19,15,4.18181818182
2005,19,58,4.0
2005,19,81,3.63636363636
2005,20,37,4.13636363636
2005,20,16,4.09090909091
2005,20,17,3.54545454545
2005,20,1,3.5
2005,20,29,3.13636363636
2005,20,14,3.77272727273
2005,20,30,4.63636363636
2005,20,10,3.77272727273
2005,20,15,3.5
2005,20,2,3.45454545455
2005,20,58,3.5
2005,20,12,4.31818181818
2005,20,9,3.0
2005,20,24,4.54545454545
2005,20,11,3.63636363636
2005,20,4,3.31818181818
2005,20,81,3.45454545455
2005,20,32,3.09090909091
2005,21,2,3.13636363636
2005,21,9,4.31818181818
2005,21,1,3.40909090909
2005,21,15,3.59090909091
2005,21,24,3.63636363636
2005,21,29,4.13636363636
2005,21,4,4.04545454545
2005,21,37,3.5
2005,21,10,3.04545454545
2005,21,11,4.18181818182
2005,21,12,3.31818181818
2005,21,30,4.13636363636
2005,21,32,3.40909090909
2005,21,58,3.36363636364
2005,21,16,3.59090909091
2005,21,17,3.5
2005,21,14,3.13636363636
2005,21,81,3.40909090909
2005,22,15,3.36363636364
2005,22,16,3.86363636364
2005,22,9,3.22727272727
2005,22,1,4.31818181818
2005,22,29,4.27272727273
2005,22,2,3.63636363636
2005,22,81,3.13636363636
2005,22,24,4.13636363636
2005,22,17,3.59090909091
2005,22,4,3.22727272727
2005,22,58,3.18181818182
2005,22,14,3.31818181818
2005,22,37,3.90909090909
2005,22,10,4.13636363636
2005,22,32,3.90909090909
2005,22,12,3.31818181818
2005,22,11,3.54545454545
2005,22,30,3.77272727273
2005,23,16,4.72727272727
2005,23,9,2.63636363636
2005,23,4,2.81818181818
2005,23,15,3.72727272727
2005,23,10,3.31818181818
2005,23,17,3.81818181818
2005,23,30,4.09090909091
2005,23,37,3.27272727273
2005,23,2,2.86363636364
