,Link,Home_Player01,Home_Player02,Home_Player03,Home_Player04,Home_Player05,Home_Player06,Home_Player07,Home_Player08,Home_Player09,Home_Player10,Home_Player11,Away_Player01,Away_Player02,Away_Player03,Away_Player04,Away_Player05,Away_Player06,Away_Player07,Away_Player08,Away_Player09,Away_Player10,Away_Player11
0,2407218,30669,26870,33694,45699,70426,79705,57598,28673,39317,43592,51570,37110,47576,37125,65540,60044,54958,46533,41416,30611,59516,22646
1,2407221,39245,37075,66745,48996,78859,34364,45202,48998,67196,49091,40709,43627,40054,29041,44605,73393,29659,26739,51315,26143,31579,44518
2,2407222,39284,73028,54141,26794,29034,40659,33302,60535,49697,70313,59173,38910,59524,39266,57147,70756,46095,33610,39177,54639,42607,28674
3,2407223,39333,44372,28716,39477,48635,67258,38902,38351,64343,78878,49571,45127,24821,34457,56498,65767,41709,29766,38780,66522,51072,41375
4,2407224,42122,58441,50211,30891,48098,29782,47828,27646,69857,71673,57341,51641,49509,30139,66756,72706,34449,70281,58107,40563,34463,51660
5,2407225,49258,30896,40674,73623,64523,49852,25350,42609,78876,38891,69265,28398,42932,31772,28281,30521,38064,50834,57679,34994,28725,49504
6,2407219,63784,39456,41817,70990,67220,22042,75290,48905,46429,58396,54977,49000,77866,46596,44532,38888,34255,25405,57602,63656,64038,29567
7,2407226,27656,45136,49690,33927,31112,39657,49931,50470,34246,50263,43606,51437,60522,34415,22707,70315,51438,42063,39677,59462,72007,63860
8,2407220,42271,43593,22714,43253,48246,46276,57343,50433,43117,44484,73214,39161,38779,39167,66526,67389,59640,30970,39152,45200,73087,31756
9,2407240,43627,40054,29041,44605,73393,29659,26739,48647,26143,31579,74939,22930,39456,43511,41817,67220,22042,48905,75290,46429,42062,58396
10,2407237,49000,77866,46596,44532,38888,34255,25405,57602,63656,64038,29567,46371,45951,28716,67717,28440,38482,38902,67258,38351,48635,49571
11,2407238,37110,47576,37125,65540,60044,46533,54958,41416,59516,64040,22646,42122,58441,47565,50211,48098,30891,47828,27646,69857,71673,57341
12,2407241,45127,24821,44448,34457,65767,71474,38780,66522,41375,51072,68317,39245,57605,66745,48996,37075,34364,45202,48998,67196,49091,40709
13,2407243,39161,38779,39167,66526,67389,59640,30970,39152,45200,73087,31756,49258,30896,40674,73623,64523,54657,25350,42609,78876,38891,69265
