,Season,Gameday,Link,TeamH,TeamA,GD,GoalsH,GoalsA,ShotsH,ShotsA,PassesH,PassesA,PassQuH,PassQuA,PossesH,PossesA,ChallH,ChallA,FoulsH,FoulsA,OffsideH,OffsideA,CornersH,CornersA,ChancesH,ChancesA,Attendance,Last6-1,Last6-2,Last6-3,Last6-4,Last6-5,Last6-6
0,2014,1,2407218,14,24,1,2,1,17,9,627,415,85,77,60,40,57,43,5,9,3,3,9,3,11,4,71000,5.0,1.0,2.0,3.0,2.0,1.0
1,2014,1,2407221,3209,91,2,2,0,11,12,314,438,62,70,43,57,45,55,19,15,1,0,7,3,3,2,23792,2.0,-2.0,-1.0,0.0,0.0,2.0
2,2014,1,2407222,58,2,1,2,1,8,12,376,490,69,72,44,56,53,47,12,15,1,2,2,4,4,4,49000,-2.0,1.0,-1.0,0.0,-3.0,0.0
3,2014,1,2407223,29,4,0,2,2,19,9,420,362,80,77,54,46,52,48,17,18,4,6,9,5,8,5,59672,-2.0,1.0,1.0,-1.0,-1.0,-1.0
4,2014,1,2407224,32,7,1,1,0,10,13,288,535,70,82,36,64,54,46,17,22,2,1,6,5,5,5,46200,-3.0,0.0,0.0,1.0,0.0,-1.0
5,2014,1,2407225,16,12,0,0,0,10,19,426,504,72,77,46,54,47,53,23,16,2,2,3,6,4,3,50000,-1.0,1.0,-4.0,1.0,0.0,-2.0
6,2014,1,2407219,17,9,-2,0,2,11,11,508,373,71,59,58,42,51,49,13,28,1,5,8,4,5,3,80667,0.0,-1.0,1.0,3.0,1.0,0.0
7,2014,1,2407226,109,30,0,2,2,10,14,311,516,70,79,39,61,56,44,16,14,3,0,4,3,4,5,14824,,,,,,
8,2014,1,2407220,15,11,0,1,1,20,7,606,464,87,81,56,44,57,43,8,16,3,2,6,3,6,2,50203,0.0,2.0,-2.0,-1.0,3.0,0.0
9,2014,2,2407240,91,17,-1,2,3,12,22,524,455,82,76,54,46,50,50,9,12,8,2,3,6,5,12,30660,0.0,-4.0,-2.0,-2.0,0.0,-4.0
10,2014,2,2407237,9,29,2,4,2,21,3,470,267,69,48,63,37,54,46,11,20,3,3,5,6,10,4,27819,-1.0,1.0,0.0,0.0,0.0,0.0
11,2014,2,2407238,24,32,0,2,2,14,8,576,324,82,69,64,36,54,46,19,11,6,3,4,3,4,4,27528,1.0,1.0,0.0,-2.0,0.0,-2.0
